Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
3316341913,"Apr 18, 2020, 1:18:42 PM",Passeio do Jack 18/04/2020,Walk,,2180,2.40,,,false,,activities/3316341913.gpx,,,2180.0,1800.0,2407.800048828125,3.4000000953674316,1.337666630744934,10.765473365783691,10.465474128723145,3.200000047683716,13.5,23.899999618530273,0.012459506280720234,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325883495,"Apr 20, 2020, 11:53:12 AM",Passeio da Nina 20/04/20,Walk,,4202,3.08,,,false,,activities/3325883495.gpx,,,4202.0,3244.0,3080.39990234375,6.0,0.9495684504508972,5.0,4.800000190734863,5.099999904632568,10.100000381469727,3.9000000953674316,0.00649266317486763,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330917564,"Apr 21, 2020, 1:18:07 PM",Passeio da Nina 21/04/20,Walk,,3786,2.44,,,false,,activities/3330917564.gpx,,,3786.0,2783.0,2446.60009765625,3.200000047683716,0.8791232705116272,5.003030300140381,6.703030109405518,5.099999904632568,10.600000381469727,2.9000000953674316,-0.069484181702137,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333348484,"Apr 21, 2020, 8:56:03 PM",Passeio do Elvis 21/04/20,Walk,,3707,3.71,,,false,,activities/3333348484.gpx,,,3707.0,2938.0,3717.800048828125,5.5,1.2654186487197876,9.239316940307617,9.839320182800293,9.199999809265137,16.700000762939453,5.5,-0.016138575971126556,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335611839,"Apr 22, 2020, 11:45:12 AM",Passeio da Nina 22/04/20,Walk,,3776,3.30,,,false,,activities/3335611839.gpx,,,3776.0,3180.0,3305.300048828125,8.300000190734863,1.0394024848937988,10.721366882324219,12.121399879455566,4.599999904632568,13.899999618530273,3.700000047683716,-0.0423562154173851,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340572725,"Apr 23, 2020, 11:45:09 AM",Passeio da Nina 23/04/2020,Walk,,4317,3.18,,,false,,activities/3340572725.gpx,,,4317.0,3285.0,3184.5,3.5,0.9694063663482666,8.246323585510254,7.846320152282715,5.300000190734863,12.899999618530273,13.300000190734863,0.012560841627418995,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345494853,"Apr 24, 2020, 11:43:55 AM",Passeio da Nina 24/04/20,Walk,,3826,2.61,,,false,,activities/3345494853.gpx,,,3826.0,2735.0,2616.300048828125,4.300000190734863,0.9565996527671814,3.7296295166015625,3.7296299934387207,8.300000190734863,13.0,8.300000190734863,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360944420,"Apr 27, 2020, 11:43:54 AM",Passeio da Nina 27/04/20,Walk,,4055,3.13,,,false,,activities/3360944420.gpx,,,4055.0,2998.0,3137.0,3.299999952316284,1.046364188194275,13.632145881652832,14.932146072387695,4.699999809265137,13.800000190734863,32.900001525878906,-0.04144086688756943,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365641136,"Apr 28, 2020, 11:49:38 AM",Passeio da Nina 28/04/20,Walk,,4226,2.47,,,false,,activities/3365641136.gpx,,,4226.0,2708.0,2477.10009765625,2.700000047683716,0.9147341251373291,8.687155723571777,9.987159729003906,6.300000190734863,13.0,15.399999618530273,-0.05248072370886803,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370383305,"Apr 29, 2020, 11:49:08 AM",Passeio da Nina 29/04/2020,Walk,,3808,3.19,,,false,,activities/3370383305.gpx,,,3808.0,2593.0,3198.89990234375,4.400000095367432,1.2336676120758057,8.74222183227539,10.142219543457031,4.599999904632568,13.899999618530273,3.299999952316284,-0.04376504570245743,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
