,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
3864,2022-07-01,Q1RV34,QORVO INC,243.25,243.25,243.25,243.25,20,608120,0.0,-0.0
3901,2022-07-15,S1YY34,SYSCO CORP,236.47,236.47,236.47,236.47,10,331050,0.0,-0.0
3905,2022-07-15,S2NA34,SNAP INC,12.42,12.42,12.42,12.42,1330,1659310,0.0,-0.0
3945,2022-07-01,RAIZ4,RAIZEN,4.52,4.7,4.52,4.52,12849200,-2147483648,0.0,3.82978723404257
4117,2022-07-11,B1MR34,BIOMARIN PHA,236.0,236.0,236.0,236.0,100,2360000,0.0,-0.0
4121,2022-07-11,B1SX34,BOSTON SCIEN,201.35,201.35,201.35,201.35,30,765130,0.0,-0.0
4148,2022-07-01,S1IV34,SVB FINANCIA,531.03,531.03,531.03,531.03,10,902750,0.0,-0.0
4185,2022-07-11,B2UR34,BURLINGTONST,26.37,26.37,26.37,26.37,170,458830,0.0,-0.0
4211,2022-07-11,BBSE3,BBSEGURIDADE,25.14,25.45,25.01,25.14,3138000,-2147483648,0.0,1.72888015717092
4217,2022-07-01,S1RP34,SAREPTA THER,19.98,19.98,19.98,19.98,100,199800,0.0,-0.0
4218,2022-07-01,S1WK34,STANLEY BLAC,141.26,141.26,141.26,141.26,30,494410,0.0,-0.0
4221,2022-07-01,S1YY34,SYSCO CORP,228.37,228.37,228.37,228.37,30,867800,0.0,-0.0
4225,2022-07-01,S2NA34,SNAP INC,11.69,11.69,11.69,11.69,570,667490,0.0,-0.0
4250,2022-07-15,T1SS34,TENARIS SA,66.95,66.95,66.95,66.95,5450,36494440,0.0,-0.0
4307,2022-07-11,BEWT39,MSCI TAIWAN,43.44,43.44,43.44,43.44,30,130320,0.0,-0.0
4353,2022-07-11,BICL39,BKR GL CLEAN,52.1,52.15,51.95,52.1,60,333290,0.0,0.3835091083413178
4365,2022-07-11,BILF39,LATIN AMER40,38.24,38.24,38.24,38.24,20,76480,0.0,-0.0
4433,2022-07-11,BIVB39,CORE SP 500,51.7,52.2,51.62,51.7,11950,61984130,0.0,1.1111111111111183
4439,2022-07-11,BIYT39,BKR 7 10 YRT,54.89,54.89,54.89,54.89,30,197600,0.0,-0.0
4511,2022-07-01,T1SS34,TENARIS SA,68.1,68.1,68.1,68.1,50,340500,0.0,-0.0
4515,2022-07-01,T2DH34,TELADOCHEALT,6.21,6.21,6.21,6.21,10,8070,0.0,-0.0
4516,2022-07-01,T2ER34,TERADYNE INC,25.08,25.08,25.08,25.08,1080,2728700,0.0,-0.0
4527,2022-07-11,BMIN4,MERC INVEST,13.57,13.57,13.57,13.57,100,135700,0.0,-0.0
4533,2022-07-11,BMYB34,BRISTOLMYERS,403.7,403.7,403.7,403.7,140,5651800,0.0,-0.0
4539,2022-07-11,BOBR4,BOMBRIL,1.26,1.27,1.24,1.26,14600,1832800,0.0,2.3622047244094557
4562,2022-07-15,UNIP5,UNIPAR,85.03,85.03,85.03,85.03,100,850300,0.0,-0.0
4581,2022-07-15,V1OD34,VODAFONE GRO,41.4,41.4,41.4,41.4,260,1076400,0.0,-0.0
4651,2022-07-22,BSLI4,BRB BANCO,15.47,15.47,15.47,15.47,100,154700,0.0,-0.0
4656,2022-07-22,BSUS39,ESGMSCIUSA L,46.96,46.96,46.96,46.96,30,169050,0.0,-0.0
4667,2022-07-22,BVLU39,MSCIUSVALUEF,50.84,50.84,50.84,50.84,710,3614720,0.0,-0.0
4670,2022-07-22,C1BR34,CBRE GROUP I,446.01,446.01,446.01,446.01,10,579810,0.0,-0.0
4772,2022-07-11,BUSM39,MSCI US MVOL,47.79,47.79,47.79,47.79,1080,5199550,0.0,-0.0
4796,2022-07-15,W1MG34,WARNER MUSIC,34.89,34.89,34.89,34.89,60,230270,0.0,-0.0
4805,2022-07-22,C1TV34,CORTEVA INC,73.56,73.56,73.56,73.56,150,1132820,0.0,-0.0
4806,2022-07-22,C1TX34,CITRIX SYSTE,277.43,277.43,277.43,277.43,10,277430,0.0,-0.0
4849,2022-07-01,U1RI34,UNITED RENTA,647.04,647.04,647.04,647.04,10,776440,0.0,-0.0
4860,2022-07-01,UNIP5,UNIPAR,93.9,93.9,93.9,93.9,200,1878000,0.0,-0.0
4871,2022-07-11,C1BL34,CHUBB LTD,259.25,259.25,259.25,259.25,30,803670,0.0,-0.0
4872,2022-07-11,C1BO34,CBOE GLOBAL,322.0,322.0,322.0,322.0,20,740600,0.0,-0.0
4874,2022-07-11,C1CI34,CROWN CASTLE,230.72,230.72,230.72,230.72,280,6460160,0.0,-0.0
4881,2022-07-11,C1MG34,CHIPOTLE MEX,346.15,346.15,346.15,346.15,10,449990,0.0,-0.0
4882,2022-07-11,C1NS34,CELANESE COR,298.15,298.15,298.15,298.15,20,655920,0.0,-0.0
4908,2022-07-15,WLMM4,WLM IND COM,20.88,20.88,20.88,20.88,100,208800,0.0,-0.0
4941,2022-07-01,V2EE34,VEEVASYSTEMS,35.59,35.59,35.59,35.59,40,142360,0.0,-0.0
4942,2022-07-01,V2MW34,VMWARE INC,50.2,50.2,50.2,50.2,160,833320,0.0,-0.0
4966,2022-07-22,CEEB3,COELBA,36.7,36.7,36.7,36.7,100,367000,0.0,-0.0
5016,2022-07-11,CGAS5,COMGAS,120.02,120.02,120.02,120.02,100,1200200,0.0,-0.0
5034,2022-07-01,VIVR3,VIVER,0.6,0.62,0.58,0.6,1950900,116211700,0.0,6.451612903225811
5052,2022-07-01,VVEO3,VIVEO,13.6,13.96,13.5,13.6,127600,174585900,0.0,3.2951289398280847
5065,2022-07-15,EQMA3B,EQTLMARANHAO,37.06,37.06,37.06,37.06,900,3335400,0.0,-0.0
5068,2022-07-15,MRSA6B,MRS LOGIST,22.5,22.5,22.5,22.5,200,450000,0.0,-0.0
5080,2022-07-18,A1JG34,ARTHUR J GAL,441.5,441.5,441.5,441.5,30,1545250,0.0,-0.0
5098,2022-07-22,CPFE3,CPFL ENERGIA,32.14,32.58,31.84,32.14,1448100,-2147483648,0.0,2.2713321055862434
5149,2022-07-18,A1MP34,AMERIPRISE F,312.79,312.79,312.79,312.79,90,2908940,0.0,-0.0
5162,2022-07-18,A2RE34,ARES MANAGEM,32.55,32.55,32.55,32.55,30,117180,0.0,-0.0
5180,2022-07-01,W1AB34,WABTEC CORP,220.22,220.22,220.22,220.22,100,2312310,0.0,-0.0
5185,2022-07-01,W1MC34,WASTE MANAG,412.0,412.0,412.0,412.0,10,741600,0.0,-0.0
5225,2022-07-22,CSRN3,COSERN,20.99,20.99,20.99,20.99,100,209900,0.0,-0.0
5231,2022-07-22,CTNM4,COTEMINAS,2.62,2.62,2.62,2.62,4100,1074200,0.0,-0.0
5255,2022-07-11,CRIV4,ALFA FINANC,4.69,4.69,4.69,4.69,500,232500,0.0,-0.0
5290,2022-07-01,YUMR34,YUM BRANDS,304.7,304.7,304.7,304.7,20,761750,0.0,-0.0
5302,2022-07-18,ACNB34,ACCENTURE,1451.96,1451.96,1451.96,1451.96,40,5807840,0.0,-0.0
5340,2022-07-11,CTSA3,SANTANENSE,1.55,1.6,1.51,1.55,24800,3828300,0.0,5.625000000000002
5344,2022-07-11,CTSH34,COGNIZANT,352.35,352.35,352.35,352.35,10,458050,0.0,-0.0
5351,2022-07-11,CVSH34,CVS HEALTH,253.43,253.43,253.43,253.43,30,760290,0.0,-0.0
5368,2022-07-22,CVSH34,CVS HEALTH,258.44,258.44,258.44,258.44,100,2584400,0.0,-0.0
5386,2022-07-22,D2PZ34,DOMINOSPIZZA,43.74,43.74,43.74,43.74,10,52480,0.0,-0.0
5425,2022-07-01,EQMA3B,EQTLMARANHAO,38.01,38.01,38.01,38.01,1000,3801000,0.0,-0.0
5429,2022-07-01,MRSA3B,MRS LOGIST,28.06,28.06,28.06,28.06,1600,4489600,0.0,-0.0
5430,2022-07-01,MRSA5B,MRS LOGIST,28.06,28.06,28.06,28.06,500,1403000,0.0,-0.0
5456,2022-07-11,D1HI34,DR HORTON IN,394.1,394.1,394.1,394.1,10,551740,0.0,-0.0
5464,2022-07-11,D2KS34,DICKS SPORT,45.91,45.91,45.91,45.91,430,1974130,0.0,-0.0
