,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro
11792,2022-07-12,COGN3,COGNA ON,2.31,2.49,2.31,2.4,38062500,-2147483648
11794,2022-07-12,COLG34,COLGATE,61.32,61.32,60.78,60.78,280,1737200
11795,2022-07-12,COPH34,COPHILLIPS,112.88,113.89,111.68,113.06,640,7287760
11797,2022-07-12,COTY34,COTY INC,20.0,20.0,20.0,20.0,30,72000
11798,2022-07-12,COWC34,COSTCO,67.69,68.0,66.37,66.7,11930,80033600
11799,2022-07-12,CPFE3,CPFL ENERGIA,30.53,31.25,30.46,31.07,1540600,-2147483648
11802,2022-07-12,CPLE3,COPEL,6.3,6.44,6.24,6.43,598200,381184500
11805,2022-07-12,CPLE6,COPEL,6.87,6.96,6.84,6.9,6210000,-2147483648
11807,2022-07-12,CPLE11,COPEL,33.94,34.49,33.7,34.49,397600,1359268200
11812,2022-07-22,VBBR3,VIBRA,16.98,16.98,16.44,16.54,5815900,-2147483648
11818,2022-07-22,VERZ34,VERIZON,42.46,42.46,40.05,40.67,33440,135746990
11825,2022-07-22,VIIA3,VIA,2.64,2.67,2.44,2.51,48273200,-2147483648
11829,2022-07-22,VISA34,VISA INC,59.43,59.99,57.98,59.99,25880,152145010
11831,2022-07-22,VITT3,VITTIA,9.55,9.99,9.24,9.28,218900,205002400
11834,2022-07-22,VIVA3,VIVARA S.A.,21.35,21.67,21.11,21.24,868100,1845814400
11836,2022-07-22,VIVR3,VIVER,0.65,0.66,0.61,0.62,1734100,109290300
11840,2022-07-22,VIVT3,TELEF BRASIL,46.99,47.28,46.34,46.83,1353400,-2147483648
11842,2022-07-05,BURA39,GX URANIUM,33.13,33.26,32.55,32.76,760,2532560
11843,2022-07-05,BURT39,BKR MS WLD,38.52,38.52,38.48,38.49,4480,17248700
11844,2022-07-05,BUSM39,MSCI US MVOL,47.55,47.73,47.55,47.73,12730,60786000
11845,2022-07-05,BUSR39,CORE US REIT,49.5,49.5,47.84,47.84,100,499780
11846,2022-07-05,BVLU39,MSCIUSVALUEF,48.3,48.85,48.3,48.85,13190,64452170
11847,2022-07-05,BXTC39,EXPON TECHNL,42.84,42.84,42.78,42.78,0,8560
11848,2022-07-05,C1BL34,CHUBB LTD,259.11,259.11,259.11,259.11,20,751410
11849,2022-07-05,C1BO34,CBOE GLOBAL,313.4,313.41,313.4,313.41,10,532790
11850,2022-07-05,C1BS34,PARAMOUNT GL,134.53,134.53,134.53,134.53,110,1560540
11851,2022-07-05,C1CL34,CARNIVAL COR,44.85,48.22,44.26,48.22,10650,48861050
11852,2022-07-05,C1DN34,CADENCE DESI,407.96,407.96,407.96,407.96,0,40790
11853,2022-07-05,C1GP34,COSTAR GROUP,3.33,3.33,3.33,3.33,20,9320
11854,2022-07-05,C1HI34,CHINA PETROL,39.6,39.6,38.79,39.12,160,646340
11855,2022-07-05,C1IC34,CIGNA CORP,348.04,348.04,347.84,347.84,310,10783060
11856,2022-07-05,C1MG34,CHIPOTLE MEX,345.1,368.39,345.1,368.39,10,476570
11857,2022-07-05,C1NS34,CELANESE COR,304.05,304.05,304.05,304.05,10,364860
11858,2022-07-05,C1OG34,COTERRA ENER,134.03,134.03,134.03,134.03,100,1407310
11859,2022-07-05,C1OU34,COUPA SOFTWA,10.77,11.47,10.77,11.46,180,209480
11860,2022-07-05,C1SU34,CREDIT SUISS,14.71,14.85,14.71,14.85,110,171160
11861,2022-07-05,C1TV34,CORTEVA INC,70.07,70.07,70.06,70.06,80,609600
11862,2022-07-05,C2GN34,COGNEX CORP,29.61,29.61,29.61,29.61,0,2960
11863,2022-07-05,C2OI34,COINBASEGLOB,10.2,11.95,10.01,11.95,13300,14852020
11864,2022-07-05,C2PT34,CAMDEN PROP,46.61,46.61,46.61,46.61,10,46610
11865,2022-07-05,C2RS34,CRISPR THERA,47.6,47.76,47.6,47.76,190,905840
11866,2022-07-05,C2RW34,CROWDSTRIKE,45.0,45.99,44.7,45.85,126660,581853920
11868,2022-07-05,CALI3,CONST A LIND,6.5,6.6,6.5,6.52,400,262200
11870,2022-07-05,CAMB3,CAMBUCI,4.18,4.44,4.15,4.24,22600,9698100
11872,2022-07-05,CAML3,CAMIL,10.63,10.76,10.5,10.75,1614000,1718680700
11873,2022-07-19,BRSR3,BANRISUL,11.33,11.33,11.3,11.33,2200,2488600
11876,2022-07-19,BRSR6,BANRISUL,9.4,9.53,9.3,9.5,1222200,1154292400
11879,2022-07-19,BSDV39,GX SUPERDIVD,24.38,24.84,24.38,24.84,540,1348040
11880,2022-07-19,BSHV39,BKR SHORT TR,59.15,60.01,59.15,60.01,1680,10096550
11881,2022-07-19,BSIL39,GX SILVER MN,26.7,26.79,26.61,26.79,0,18680
11883,2022-07-19,BSLI4,BRB BANCO,14.0,14.0,14.0,14.0,100,140000
11884,2022-07-19,BSLV39,SILVER TRUST,31.26,31.28,31.01,31.17,11060,34546170
11885,2022-07-19,BSOC39,GX SOCIAL MD,22.44,23.0,22.44,23.0,0,13630
11886,2022-07-19,BSOX39,BKR SEMICOND,50.39,52.0,50.39,52.0,900,4594770
11893,2022-07-19,BTLT39,BKR 20YR TRS,40.88,40.88,40.82,40.82,750,3062700
11895,2022-07-19,BURA39,GX URANIUM,35.0,36.18,34.64,36.18,250,914550
11896,2022-07-19,BUSM39,MSCI US MVOL,48.49,48.49,48.49,48.49,1650,8005690
11897,2022-07-19,BUSR39,CORE US REIT,48.69,48.69,48.49,48.6,40,223810
11898,2022-07-19,BVLU39,MSCIUSVALUEF,49.62,49.62,49.62,49.62,450,2262670
11899,2022-07-19,BXTC39,EXPON TECHNL,44.64,44.64,44.64,44.64,0,4460
11900,2022-07-19,C1BL34,CHUBB LTD,250.25,250.25,250.25,250.25,10,250250
11901,2022-07-19,C1BS34,PARAMOUNT GL,132.86,134.5,132.86,134.5,70,971690
11902,2022-07-19,C1CI34,CROWN CASTLE,232.28,232.28,232.28,232.28,210,4877880
11903,2022-07-19,C1CL34,CARNIVAL COR,53.0,56.14,53.0,55.96,14120,78158220
11905,2022-07-12,CRFB3,CARREFOUR BR,17.2,17.2,16.62,16.72,4669800,-2147483648
11908,2022-07-12,CRIP34,CTRIPCOM,133.75,134.14,133.75,134.14,120,1618410
11909,2022-07-12,CRIV3,ALFA FINANC,2.99,3.05,2.72,2.99,24500,7370400
11912,2022-07-12,CRPG5,CRISTAL,32.09,32.5,31.57,31.73,5400,17317900
11914,2022-07-12,CRPG6,CRISTAL,32.5,32.5,32.5,32.5,200,650000
11917,2022-07-12,CSAN3,COSAN,17.43,17.5,17.09,17.14,3222100,-2147483648
11919,2022-07-12,CSCO34,CISCO,46.32,47.17,46.32,46.45,2250,10475310
11920,2022-07-12,CSED3,CRUZEIRO EDU,3.33,3.46,3.29,3.45,266800,90246800
11922,2022-07-12,CSMG3,COPASA,11.21,11.4,11.18,11.32,1044100,1181088800
11924,2022-07-12,CSNA3,SID NACIONAL,14.18,14.43,13.81,14.24,14031000,-2147483648
11926,2022-07-12,CSRN3,COSERN,21.89,21.89,21.0,21.0,300,638900
11928,2022-07-12,CTGP34,CITIGROUP,41.99,42.33,41.8,41.8,630,2670760
11930,2022-07-12,CTNM4,COTEMINAS,2.63,2.67,2.51,2.67,4600,1189600
11932,2022-07-12,CTSA3,SANTANENSE,1.55,1.55,1.51,1.52,13500,2068800
11934,2022-07-12,CTSA4,SANTANENSE,0.77,0.78,0.76,0.76,59700,4551200
11935,2022-07-22,VLID3,VALID,10.04,10.23,9.91,9.98,172200,172388900
11939,2022-07-22,VLOE34,VALERO ENER,283.5,283.91,283.46,283.91,10,283640
11943,2022-07-22,VRTX34,VERTEX PHARM,388.83,400.0,382.98,400.0,1500,57933900
11947,2022-07-22,VULC3,VULCABRAS,10.79,10.87,10.64,10.81,121900,131280500
11949,2022-07-22,VVEO3,VIVEO,16.07,16.24,15.58,15.95,140000,223937700
11952,2022-07-22,W1AB34,WABTEC CORP,234.66,234.66,234.66,234.66,0,117330
11953,2022-07-22,W1BD34,WARNER DISCO,80.4,80.4,79.73,79.73,260,2120880
11954,2022-07-22,W1DA34,WORKDAY INC,201.99,201.99,200.43,200.43,20,444140
11955,2022-07-22,W1EL34,WELLTOWER IN,226.57,226.57,226.1,226.46,10,339490
11956,2022-07-22,W1MC34,WASTE MANAG,425.7,426.56,423.98,425.7,190,8207470
11957,2022-07-22,W1MG34,WARNER MUSIC,38.04,38.04,38.04,38.04,40,163570
11958,2022-07-22,W1YC34,WEYERHAEUSER,192.0,192.0,192.0,192.0,40,787200
11959,2022-07-22,WALM34,WAL MART,45.09,45.41,45.01,45.41,10330,46684390
11961,2022-07-22,WEGE3,WEG,25.49,26.24,25.18,25.84,10870400,-2147483648
11963,2022-07-22,WEST3,WESTWING,2.22,2.31,2.13,2.18,267000,59801000
11965,2022-07-22,WFCO34,WELLS FARGO,59.2,59.47,58.34,59.47,22530,132825440
11967,2022-07-05,CARD3,CSU CARDSYST,12.48,12.71,12.01,12.71,124500,153355700
11970,2022-07-05,CASH3,MELIUZ,1.08,1.2,1.05,1.18,31625500,-2147483648
11972,2022-07-05,CATP34,CATERPILLAR,59.36,59.36,57.6,58.38,310,1865460
11973,2022-07-05,CBAV3,CBA,10.7,10.78,10.34,10.7,2362100,-2147483648
11978,2022-07-05,CCRO3,CCR SA,12.01,12.1,11.86,12.04,6726500,-2147483648
11980,2022-07-05,CEAB3,CEA MODAS,2.21,2.34,2.12,2.33,5670800,1246655300
11982,2022-07-05,CEBR3,CEB,14.49,14.49,14.32,14.32,500,722800
11984,2022-07-05,CEBR5,CEB,12.0,12.0,12.0,12.0,1200,1440000
11986,2022-07-05,CEBR6,CEB,13.25,13.83,12.8,13.6,9900,12919500
11988,2022-07-05,CEDO4,CEDRO,4.73,4.73,4.5,4.51,2000,905000
11990,2022-07-05,CEEB3,COELBA,36.95,37.0,36.9,36.98,5800,21431100
11993,2022-07-05,CEPE5,CELPE,39.5,39.5,39.5,39.5,1200,4740000
11995,2022-07-05,CEPE6,CELPE,40.15,40.15,40.15,40.15,100,401500
